,CAGR,AnnReturn,Vol,Sharpe,Sortino,MaxDD,Calmar,Exposure,Switches,AvgDuration
BuyHold,0.1503430411116624,0.1616657265076309,0.20744338939340548,0.7793245520156843,0.957936025967222,-0.3371726149351544,0.4458933924410695,,,
JM_only,0.0645433859121447,0.0679862512647565,0.10397821883240942,0.6538508932754057,0.6114706792803095,-0.17600052658555787,0.3667226863708768,,,
Fused_PIT,0.0713346198330238,0.07647920785224169,0.12269213796559907,0.6233423683079452,0.6074931699672844,-0.2175383717763325,0.3279174117675583,0.6505305039787799,15.0,100.53333333333333
