Date,BuyHold,JM_only,Fused_PIT
2020-01-02,0.009351965259415618,0.0,0.0
2020-01-03,-0.007572134954533238,0.0,0.0
2020-01-06,0.003814799466418828,0.003814799466418828,0.003814799466418828
2020-01-07,-0.002811507452124995,-0.002811507452124995,-0.002811507452124995
2020-01-08,0.005329070242696243,0.005329070242696243,0.005329070242696243
2020-01-09,0.0067808772714941234,0.0067808772714941234,0.0067808772714941234
2020-01-10,-0.0028776084076708175,-0.0028776084076708175,-0.0028776084076708175
2020-01-13,0.006877470501618577,0.006877470501618577,0.006877470501618577
2020-01-14,-0.0015246420151138196,-0.0015246420151138196,-0.0015246420151138196
2020-01-15,0.0022599116656008,0.0022599116656008,0.0022599116656008
2020-01-16,0.008317991732273544,0.008317991732273544,0.008317991732273544
2020-01-17,0.0031126379356745115,0.0031126379356745115,0.0031126379356745115
2020-01-21,-0.0019580610366977114,-0.0019580610366977114,-0.0019580610366977114
2020-01-22,0.00012075417534274102,0.00012075417534274102,0.00012075417534274102
2020-01-23,0.0011467238046478645,0.0011467238046478645,0.0011467238046478645
2020-01-24,-0.00889318812051032,-0.00889318812051032,-0.00889318812051032
2020-01-27,-0.016029306413459454,-0.016029306413459454,-0.016029306413459454
2020-01-28,0.010479380184889475,0.010479380184889475,0.010479380184889475
2020-01-29,-0.0008262400266096925,-0.0008262400266096925,-0.0008262400266096925
2020-01-30,0.003245530672994601,0.003245530672994601,0.003245530672994601
2020-01-31,-0.018157815595675753,-0.018157815595675753,-0.018157815595675753
2020-02-03,0.007428482343069698,0.007428482343069698,0.007428482343069698
2020-02-04,0.01524143947237433,0.01524143947237433,0.01524143947237433
2020-02-05,0.011547705042041168,0.011547705042041168,0.011547705042041168
2020-02-06,0.0033649701997331416,0.0033649701997331416,0.0033649701997331416
2020-02-07,-0.0053296407234426635,-0.0053296407234426635,-0.0053296407234426635
2020-02-10,0.007465168144461076,0.007465168144461076,0.007465168144461076
2020-02-11,0.0017331529204624996,0.0017331529204624996,0.0017331529204624996
2020-02-12,0.006442807742604861,0.006442807742604861,0.006442807742604861
2020-02-13,-0.0010672736719696818,-0.0010672736719696818,-0.0010672736719696818
2020-02-14,0.0016025218690982612,0.0016025218690982612,0.0016025218690982612
2020-02-18,-0.002576946105207867,-0.002576946105207867,-0.002576946105207867
2020-02-19,0.004781134970891721,0.004781134970891721,0.004781134970891721
2020-02-20,-0.004108549319962851,-0.004108549319962851,-0.004108549319962851
2020-02-21,-0.010297940382191673,-0.010297940382191673,-0.010297940382191673
2020-02-24,-0.03316515233673456,-0.03316515233673456,-0.03316515233673456
2020-02-25,-0.030302528133149487,-0.0002,-0.030302528133149487
2020-02-26,-0.0036780790079909975,-0.0,-0.0036780790079909975
2020-02-27,-0.04491212535082323,-0.0,-0.04491212535082323
2020-02-28,-0.004201314226763397,-0.0,-0.004201314226763397
2020-03-02,0.0433066450608548,0.0,0.0433066450608548
2020-03-03,-0.02863236274415537,-0.0,-0.02863236274415537
2020-03-04,0.0420329640995889,0.0,0.0420329640995889
