Base,Config,CAGR,AnnReturn,Vol,Sharpe,Sortino,MaxDD,Calmar,Exposure,Switches,AvgDuration
-,BuyHold,0.1503430411116624,0.1616657265076309,0.20744338939340548,0.7793245520156843,0.957936025967222,-0.3371726149351544,0.4458933924410695,,,
JM_only,JM_only (binary),0.0645433859121416,0.06798625126475745,0.10397821883240986,0.6538508932754119,0.611470679280318,-0.1760005265855592,0.36672268637085637,0.5981432360742706,19.0,79.36842105263158
JM_only,JM_only vt10_cap1.0,0.059077574555162604,0.0608051529555408,0.0823712059744861,0.7381845662715534,0.7243865216923213,-0.11213216651680347,0.526856622772107,,,
JM_only,JM_only vt10_cap1.5,0.05440317201877054,0.05701129629440629,0.08959744099736783,0.6363049620589182,0.5919126250469662,-0.13639537288182868,0.39886376545855995,,,
JM_only,JM_only vt10_cap2.0,0.05367111623186327,0.05638865657236932,0.0903741836622227,0.6239465109098445,0.574596328796185,-0.13885385588341947,0.3865295341666643,,,
JM_only,JM_only vt15_cap1.0,0.06878616022961093,0.07137902985921293,0.09831945662671834,0.7259908903912277,0.7120503760110877,-0.14366504499978872,0.47879538289715556,,,
JM_only,JM_only vt15_cap1.5,0.08711923879329242,0.09120772943331118,0.12355680896172917,0.738184566271553,0.7243865216923212,-0.16525219647117118,0.5271895965902679,,,
JM_only,JM_only vt15_cap2.0,0.08285452527084058,0.08839212656682058,0.132133937984983,0.6689585424818439,0.6347676281973867,-0.18940555732402964,0.43744505938173406,,,
JM_only,JM_only vt20_cap1.0,0.06679369971842264,0.06996229105748308,0.10272023513976446,0.6810955111452981,0.6498562596767761,-0.16358983131253113,0.4082998263554428,,,
JM_only,JM_only vt20_cap1.5,0.10197581669080691,0.10725756628966565,0.1420815254700006,0.7549015674969809,0.748505400984627,-0.19585700747017265,0.5206646318556509,,,
JM_only,JM_only vt20_cap2.0,0.11398410990298835,0.1216103059110816,0.1647424119489722,0.7381845662715534,0.7243865216923213,-0.21637855441631326,0.5267809936639212,,,
Fused_PIT,Fused_PIT (binary),0.07133461983302003,0.07647920785224253,0.12269213796559951,0.62334236830795,0.6074931699672912,-0.21753837177633306,0.3279174117675401,0.6505305039787799,15.0,100.53333333333333
Fused_PIT,Fused_PIT vt10_cap1.0,0.06074500563517593,0.06273564342588342,0.08659699790294378,0.7244551767971945,0.7580024007162558,-0.0948073230072678,0.6407206079483893,,,
Fused_PIT,Fused_PIT vt10_cap1.5,0.054848514031657025,0.05778228190895061,0.09340750606175185,0.6186042679562673,0.6133572312610839,-0.11518364635680078,0.4761831715394258,,,
Fused_PIT,Fused_PIT vt10_cap2.0,0.05411716664843791,0.05716061496412615,0.09415291787342409,0.6071040203020676,0.5960488671756655,-0.11769741736512007,0.4597991006086058,,,
Fused_PIT,Fused_PIT vt15_cap1.0,0.07454251848965221,0.0775300409415806,0.10594134960567173,0.731820400911996,0.7690926845933367,-0.14641635958726584,0.5091133169802928,,,
Fused_PIT,Fused_PIT vt15_cap1.5,0.08939552726741784,0.09410346513882513,0.12989549685441568,0.7244551767971945,0.7580024007162559,-0.13973967840085078,0.6397290182032763,,,
Fused_PIT,Fused_PIT vt15_cap2.0,0.08353116587900566,0.08980469496230571,0.13796492922656575,0.6509240824153842,0.6581180324994838,-0.15711534963697238,0.5316550297091349,,,
Fused_PIT,Fused_PIT vt20_cap1.0,0.07827787981151402,0.08187285512290582,0.11382817307705456,0.719267057615719,0.7435779844988841,-0.17528905549093188,0.4465645592777098,,,
Fused_PIT,Fused_PIT vt20_cap1.5,0.10756585047753986,0.11373917278431683,0.1517451765498982,0.7495406138785317,0.7946329619045167,-0.1931200922957248,0.5569894318030061,,,
Fused_PIT,Fused_PIT vt20_cap2.0,0.11669586347028327,0.12547128685176684,0.17319399580588757,0.7244551767971945,0.7580024007162558,-0.1836572797718915,0.6354001519309413,,,
