,CAGR,Vol,Sharpe,Sortino,MaxDD
Buy & hold SPY,0.15034304111165553,0.207443389393406,0.7793245520156877,0.9579360259672288,-0.33717261493515494
AR-only,0.08039113725326552,0.1466251326133546,0.6012779709006307,0.3745371732174933,-0.33717261493515494
JM-only,0.09373888250681772,0.11010346387913589,0.8691071919141936,0.9094639772452686,-0.150107007601872
Fused,0.08010975811553878,0.10324526724964882,0.7982850614716687,0.7989094368539765,-0.16143039676691684
Gate (OR),0.13300077486899542,0.16850847013580122,0.8259717678731296,0.8198956422123158,-0.33717261493515494
