Date,AR,dAR
2018-02-28,0.7001666850137681,0.5621275258562753
2018-03-01,0.6970379905403996,0.6248254043411076
2018-03-02,0.6952755311744809,0.6497467013964634
2018-03-05,0.6976437879806761,0.6741070839139283
2018-03-06,0.6970136272786355,0.6937972152167042
2018-03-07,0.6957099779088575,0.7127153430550389
2018-03-08,0.6989835688690631,0.7308153258294744
2018-03-09,0.70419274713742,0.7509580345772316
2018-03-12,0.7037031918430225,0.7709248579841819
2018-03-13,0.7040724710736667,0.7909367057153077
2018-03-14,0.7041351091705854,0.8120891585455309
2018-03-15,0.7032063386859085,0.8328258572948688
2018-03-16,0.7030824548753913,0.8475965754393004
2018-03-19,0.7062218133602645,0.8655451024959442
2018-03-20,0.7066623781530572,0.8787225761241504
2018-03-21,0.702402418953938,0.8842646575368367
2018-03-22,0.7117355161276957,0.9048515386965832
2018-03-23,0.717299638085721,0.9339556638220451
2018-03-26,0.7251911032599387,0.9689381472881443
2018-03-27,0.7259942594350688,1.0056795443361206
2018-03-28,0.7230768756786213,1.0407520265074823
2018-03-29,0.7261148718867342,1.0747878410890548
2018-04-02,0.7325331126948126,1.1090439825413196
2018-04-03,0.7341240125229731,1.1458963091348742
2018-04-04,0.7343659998949662,1.1826137929061793
2018-04-05,0.7343690475536917,1.2189349160755014
2018-04-06,0.7400199361876378,1.2625114548335135
2018-04-09,0.7396402957112287,1.3054386607564763
2018-04-10,0.7422786126041033,1.3470208748207455
2018-04-11,0.741782858383546,1.387347358950279
2018-04-12,0.7414627035155449,1.432464794074516
2018-04-13,0.7400645781667861,1.4639109621336523
2018-04-16,0.7399463747388805,1.4881810902691581
2018-04-17,0.7400064453905801,1.5025124695598675
2018-04-18,0.7392092413227718,1.5149434465319083
2018-04-19,0.7379726063977837,1.5299049135899045
2018-04-20,0.7379796976632296,1.5409560812907903
2018-04-23,0.737796946877996,1.5434658736669569
2018-04-24,0.7385042717550928,1.5451956227928572
2018-04-25,0.738071360419092,1.5462916717830117
2018-04-26,0.7381749647103029,1.547592179425106
2018-04-27,0.7385857497298352,1.5424998190992985
2018-04-30,0.7393435535837276,1.5383848079268767
2018-05-01,0.7388208277527383,1.530542747229487
2018-05-02,0.7382731944958424,1.52270564159462
2018-05-03,0.7382499016175004,1.514913707079368
2018-05-04,0.7405914731417022,1.5107980528076905
2018-05-07,0.7410648813346384,1.5073768138252037
2018-05-08,0.7415073004111994,1.5043706366260585
2018-05-09,0.7428295888954246,1.5038395276180092
2018-05-10,0.7442170962803324,1.5056887304078048
2018-05-11,0.7435188232527783,1.5071105870626236
2018-05-14,0.7433463773525374,1.508646882090756
2018-05-15,0.7437207835524587,1.5094975265600878
2018-05-16,0.7436902265781555,1.510643767317553
2018-05-17,0.7407446026486232,1.5091069570472027
2018-05-18,0.7401847824688691,1.5064795483478448
2018-05-21,0.7399147811612856,1.502950116963768
2018-05-22,0.7391930787829794,1.4993662138452664
2018-05-23,0.7394333870397952,1.4968502448824947
2018-05-24,0.7387696716411664,1.4935830997564472
2018-05-25,0.7389637408926614,1.4872448641674338
2018-05-29,0.7389278713936306,1.4803138578571424
2018-05-30,0.7399103501331695,1.4737903937812409
2018-05-31,0.7401209288107258,1.4659075041504837
2018-06-01,0.7397674318314731,1.4562248711654657
2018-06-04,0.7389146754629936,1.4465275399904949
2018-06-05,0.7384647287814445,1.436680657034162
2018-06-06,0.738792236329848,1.4265671330408098
2018-06-07,0.7381105334088995,1.4160088237680952
2018-06-08,0.7381120532728718,1.4089714706540297
2018-06-11,0.7425258943101082,1.4060930935688267
2018-06-12,0.7431614182894496,1.4038467466638773
2018-06-13,0.7422900212142444,1.4016257503919316
2018-06-14,0.7430352980978385,1.3997874183476708
2018-06-15,0.7419405044399766,1.3978005904474504
2018-06-18,0.7420147231760121,1.3954669483374458
2018-06-19,0.7413974609308669,1.3926532133414535
2018-06-20,0.7409795975992216,1.3883351908259765
2018-06-21,0.7431725709483935,1.3857868231185193
2018-06-22,0.7419788505204207,1.382442406404341
2018-06-25,0.7434479189615331,1.381116200800082
2018-06-26,0.7430957901577795,1.3777361889281776
2018-06-27,0.7414747018224155,1.371629968505032
2018-06-28,0.7406467957672179,1.3652520748165262
2018-06-29,0.7405240785424254,1.358457509007137
